app,alg,gain,error
Cybershake,HIFB,42.55,0.48
Cybershake,HDB,47.61,0.00
Cybershake,HRB,47.22,0.73
Cybershake,HC,47.16,0.35
Cybershake,DFJS*,44.59,0.00
Cybershake,AFJS*,48.57,0.00
Epigenomics,HIFB,8.93,0.00
Epigenomics,HDB,14.44,0.79
Epigenomics,HRB,19.46,0.00
Epigenomics,HC,10.86,3.25
Epigenomics,DFJS*,17.45,0.00
Epigenomics,AFJS*,9.72,0.00
LIGO,HIFB,8.93,0.00
LIGO,HDB,14.44,0.79
LIGO,HRB,19.46,0.00
LIGO,HC,10.86,3.25
LIGO,DFJS*,17.45,0.00
LIGO,AFJS*,9.72,0.00
Montage,HIFB,37.05,0.02
Montage,HDB,28.96,0.00
Montage,HRB,33.78,1.04
Montage,HC,33.25,1.27
Montage,DFJS*,8.22,0.00
Montage,AFJS*,19.07,0.00
SIPHT,HIFB,35.27,0.00
SIPHT,HDB,14.55,0.00
SIPHT,HRB,45.01,0.11
SIPHT,HC,0.00,0.00
SIPHT,DFJS*,36.62,0.00
SIPHT,AFJS*,41.56,0.00
