vms,alg,gain,error
200,HIFB,60.38,2.32
400,HIFB,62.84,1.12
600,HIFB,57.79,0.86
800,HIFB,49.45,0.47
1000,HIFB,41.06,0.49
1200,HIFB,31.32,1.06
1400,HIFB,22.79,0.21
1600,HIFB,12.98,0.27
1800,HIFB,3.20,0.00
200,HDB,60.91,0.00
400,HDB,64.19,0.89
600,HDB,60.42,0.00
800,HDB,54.51,0.58
1000,HDB,42.19,0.00
1200,HDB,42.84,0.43
1400,HDB,42.30,0.71
1600,HDB,42.96,0.39
1800,HDB,42.37,0.73
200,HRB,62.13,1.12
400,HRB,63.81,0.76
600,HRB,58.19,1.00
800,HRB,49.41,1.04
1000,HRB,42.10,0.25
1200,HRB,32.64,0.38
1400,HRB,23.57,0.43
1600,HRB,13.97,0.18
1800,HRB,3.84,0.08
200,HC,57.83,1.15
400,HC,61.74,1.45
600,HC,55.64,1.98
800,HC,48.25,0.61
1000,HC,41.02,0.63
1200,HC,30.93,0.67
1400,HC,21.55,0.76
1600,HC,12.20,0.25
1800,HC,2.81,0.74
